season,team,week,pythag_exp
1999,ARI,2,0.5273234888502378
1999,ARI,3,0.46813246299455424
1999,ARI,4,0.3249131300720509
1999,ARI,5,0.1805035129836715
1999,ARI,6,0.26675513990449135
1999,ARI,8,0.22894292506315225
1999,ARI,9,0.1641993715811328
1999,ARI,10,0.1660575364080556
1999,ARI,11,0.2136684532121798
1999,ARI,12,0.2419705560823634
1999,ARI,13,0.3057289235346318
1999,ARI,14,0.3333708659303589
1999,ARI,15,0.2791513988015229
1999,ARI,16,0.27718323412732504
1999,ARI,17,0.24997496125875152
1999,ATL,2,0.37277317362540247
1999,ATL,3,0.1426988238017975
1999,ATL,4,0.0644010325512884
1999,ATL,5,0.0951756305351654
1999,ATL,6,0.16404486072217894
1999,ATL,7,0.12491591154435353
1999,ATL,8,0.13497901510990773
1999,ATL,9,0.19659491552896508
1999,ATL,11,0.16204097234141587
1999,ATL,12,0.16120793492104873
1999,ATL,13,0.18581331675180424
1999,ATL,14,0.2594621330031054
1999,ATL,15,0.2334439221283888
1999,ATL,16,0.2284636741308379
1999,ATL,17,0.28931911877467786
1999,BAL,2,0.06525843673649563
1999,BAL,3,0.2027794110098647
1999,BAL,4,0.34198792469097267
1999,BAL,5,0.43286865192651125
1999,BAL,7,0.4189134865842292
1999,BAL,8,0.2751853627404529
1999,BAL,9,0.28054772571128545
1999,BAL,10,0.4617785739386607
1999,BAL,11,0.4491483138037858
1999,BAL,12,0.4697493485465072
1999,BAL,13,0.45075206432681986
1999,BAL,14,0.5347568785803684
1999,BAL,15,0.5491090014320646
1999,BAL,16,0.6000479416964769
1999,BAL,17,0.6447265050381232
1999,BUF,2,0.1061758793374283
1999,BUF,3,0.438424034504544
1999,BUF,4,0.7997497756208947
1999,BUF,5,0.7603315749455103
1999,BUF,6,0.7208207223750621
1999,BUF,7,0.65431663324935
1999,BUF,8,0.5788756921499195
1999,BUF,9,0.5866326352274625
1999,BUF,10,0.6401249025011698
1999,BUF,11,0.6988832169400457
1999,BUF,12,0.6553979928042231
1999,BUF,14,0.6769575463337916
1999,BUF,15,0.657750214190881
1999,BUF,16,0.6669475264464095
1999,BUF,17,0.6670345641694013
1999,CAR,2,0.15184947202070626
1999,CAR,3,0.30213238147615784
1999,CAR,4,0.6668004306496131
1999,CAR,6,0.5835488644927621
1999,CAR,7,0.5736634044655413
1999,CAR,8,0.4900011475491015
1999,CAR,9,0.4617785739386606
1999,CAR,10,0.5638673354791989
1999,CAR,11,0.47322207170871666
1999,CAR,12,0.5179397975057685
1999,CAR,13,0.5314934842078086
1999,CAR,14,0.4976283338946707
1999,CAR,15,0.5021303545632724
1999,CAR,16,0.5347069353496747
1999,CAR,17,0.514405169910283
1999,CHI,2,0.6071983498688439
1999,CHI,3,0.5417909132097808
1999,CHI,4,0.43648713010604984
1999,CHI,5,0.48961368931171095
1999,CHI,6,0.5076566276353006
1999,CHI,7,0.4809558006654264
1999,CHI,8,0.46351046874774743
1999,CHI,9,0.3557482027002733
1999,CHI,10,0.37148659114826305
1999,CHI,11,0.3783320787547663
1999,CHI,12,0.40009926364731074
1999,CHI,13,0.3968358314840653
1999,CHI,15,0.36694783741398784
1999,CHI,16,0.4188839654618318
1999,CHI,17,0.3766734041193901
1999,CIN,2,0.48113447261309933
1999,CIN,3,0.20277941100986469
1999,CIN,4,0.1132093725706966
1999,CIN,5,0.08267963373406771
1999,CIN,6,0.12286567131365714
1999,CIN,7,0.1051034328582872
1999,CIN,8,0.09433307048517572
1999,CIN,9,0.07821845598793942
1999,CIN,10,0.08767152999379163
1999,CIN,11,0.09458006918274353
1999,CIN,12,0.12220702831546515
1999,CIN,13,0.15301462815193276
1999,CIN,14,0.2035280637522422
1999,CIN,16,0.2522502920868483
1999,CIN,17,0.22698633795210127
1999,CLE,2,0.0
1999,CLE,3,0.004240419818024731
1999,CLE,4,0.01718212397453094
1999,CLE,5,0.02318220874228019
1999,CLE,6,0.05643169640791782
1999,CLE,7,0.05264325174248318
1999,CLE,8,0.03586084114909045
1999,CLE,9,0.06760393198802515
1999,CLE,10,0.05608368426092102
1999,CLE,11,0.07484357022620315
1999,CLE,12,0.0832009727011744
1999,CLE,13,0.09549552429051779
1999,CLE,14,0.09558997083895943
1999,CLE,15,0.10850576834919932
1999,CLE,16,0.11281401842088168
1999,DAL,2,0.6044496609211129
1999,DAL,4,0.7632179075033259
1999,DAL,5,0.8712187314454767
1999,DAL,6,0.8229651470205239
1999,DAL,7,0.7789589170332616
1999,DAL,8,0.7963059923208484
1999,DAL,9,0.7155391494812235
1999,DAL,10,0.6575607376872451
1999,DAL,11,0.6854441205885733
1999,DAL,12,0.6648428691427637
1999,DAL,13,0.7117397033565713
1999,DAL,14,0.6859550289760956
1999,DAL,15,0.6995432425341066
1999,DAL,16,0.6824552837750116
1999,DAL,17,0.6517983103965825
1999,DEN,2,0.16946681291721086
1999,DEN,3,0.1253492354291074
1999,DEN,4,0.15590405358613305
1999,DEN,5,0.16836833286173533
1999,DEN,6,0.22520738855433542
1999,DEN,7,0.3812618678609957
1999,DEN,8,0.39668622048367047
1999,DEN,9,0.39816332431605916
1999,DEN,10,0.47041651199197637
1999,DEN,11,0.46311540719665845
1999,DEN,13,0.4850150493929804
1999,DEN,14,0.46887189909699695
1999,DEN,15,0.46425105403710154
1999,DEN,16,0.4818373898161875
1999,DEN,17,0.5043647254102869
1999,DET,2,0.7113080906235576
1999,DET,3,0.7328165488877089
1999,DET,5,0.5580348765177048
1999,DET,6,0.46813246299455424
1999,DET,7,0.4875947843109993
